0.25 0.85 7.3625
0.53 0.3 5.04
0.41 0.42 5.112
0.66 0.07 5.0045
0.68 0.43 5.9645
0.23 0.87 7.4745
0.3 0.21 4.1205
0.74 0.78 8.262
0.65 0.84 8.478
0.07 0.18 3.372
0.32 0.82 7.322
0.95 0.23 6.1145
0.42 0.84 7.788
0.19 0.85 7.1825
0.85 0.94 9.968
0.7 0.6 6.9
0.18 0.08 3.572
0.04 0.68 5.432
0.1 0.41 4.1405
0.7 0.17 5.2445
0.56 0.23 4.9445
0.17 0.14 3.608
0.02 0.67 5.3045
0.98 0.67 8.1845
0.62 0.76 7.748
0.59 0.56 6.338
0.53 0.43 5.5145
0.14 0.13 3.5045
0.01 0.48 4.182
0.43 0.24 4.578
0.22 0.9 7.71
0.9 0.64 7.748
0.27 0.17 3.9545
0.56 0.04 4.688
0.19 0.73 6.2345
0.86 0.98 10.382
0.44 0.45 5.3325
0.25 0.92 7.982
0.71 0.14 5.228
0.52 0.71 7.0805
0.72 0.51 6.4605
0.12 0.73 6.0245
0.43 0.16 4.418
0.15 0.62 5.372
0.96 0.37 6.5645
0.28 0.14 3.938
0.56 0.36 5.328
0.55 0.11 4.7105
0.03 0.15 3.2025
0.27 0.1 3.86
